Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-200.147.253.13-57836-443-6,192.168.3.22,57836,200.147.253.13,443,6,24/01/2023 09:42:51 AM,309909,17,21,1132.0,43053.0,517.0,0.0,66.58823529411764,167.12796699816934,7000.0,0.0,2050.1428571428573,1761.7609737337891,142574.1104646848,122.61663907792288,8375.918918918916,18386.153350307424,58738.0,4.0,262228.0,16389.249999999996,23572.492880474056,58816.0,107.0,309909.0,15495.449999999999,23919.5022401893,58925.0,32.0,0,0,0,0,544,688,54.85481221907076,67.76182685885212,0.0,7000.0,1132.9487179487178,1628.720695074543,2652731.102564103,0,1,0,0,0,0,0,0,1.0,1162.7631578947369,66.58823529411765,2050.1428571428573,0,0,0,0,0,0,17,1132,21,43053,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-57836-443-6,192.168.3.22,57836,200.147.253.13,443,6,24/01/2023 09:42:51 AM,114,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,271929.8245614035,26315.78947368421,57.0,65.05382386916237,103.0,11.0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,64,32,17543.859649122805,8771.929824561403,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,638,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-57840-443-6,192.168.3.22,57840,200.147.253.13,443,6,24/01/2023 09:42:51 AM,745898,90,96,1088.0,191186.0,517.0,0.0,12.088888888888887,72.51790084228712,7000.0,0.0,1991.5208333333333,1294.3667907649235,257775.19178225443,249.36385403902412,4031.8810810810814,12016.206560983224,53099.0,2.0,699663.0,7861.382022471912,17337.028757117747,93325.0,6.0,745898.0,7851.557894736842,17390.450743987614,91001.0,7.0,0,0,0,0,2880,3088,120.65992937372135,128.70392466530276,0.0,7000.0,1028.20320855615,1357.3712740766885,1842456.7756885726,0,1,0,0,0,0,0,0,1.0,1033.731182795699,12.088888888888889,1991.5208333333333,0,0,0,0,0,0,90,1088,96,191186,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-57840-443-6,192.168.3.22,57840,200.147.253.13,443,6,24/01/2023 09:42:52 AM,369,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,84010.84010840108,8130.081300813007,184.5,176.06958851545033,309.0,60.0,60.0,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,64,32,5420.054200542005,2710.0271002710024,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,2483,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-57854-443-6,192.168.3.22,57854,200.147.253.13,443,6,24/01/2023 09:42:52 AM,736895,84,102,1088.0,197954.0,517.0,0.0,12.952380952380949,75.01789421260831,7000.0,0.0,1940.7254901960782,1085.0516085445904,270109.03860115755,252.41045196398403,3983.2162162162203,12038.322642293366,58752.0,4.0,690610.0,8320.602409638557,18089.01564077463,100332.0,37.0,736895.0,7295.9900990099,16517.087721808013,62238.0,51.0,0,0,0,0,2688,3280,113.99181701599278,138.41863494799125,0.0,7000.0,1064.3957219251338,1252.3250349249906,1568317.9930998792,0,1,0,0,0,0,0,0,1.0,1070.1182795698924,12.952380952380953,1940.7254901960785,0,0,0,0,0,0,84,1088,102,197954,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-57854-443-6,192.168.3.22,57854,200.147.253.13,443,6,24/01/2023 09:42:53 AM,437,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,70938.21510297483,6864.988558352403,218.5,243.9518395093589,391.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,64,32,4576.659038901602,2288.329519450801,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,1732,1,0,0,0,0,0,0,0,0,0,No Label
142.251.129.46-192.168.3.22-443-54482-6,192.168.3.22,54482,142.251.129.46,443,6,24/01/2023 09:42:53 AM,1527,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,41257.3673870334,1964.6365422396857,763.5,1003.384522503711,1473.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,0,1,0,0,64,32,1309.757694826457,654.8788474132285,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-34.102.185.99-46892-443-6,192.168.3.22,46892,34.102.185.99,443,6,24/01/2023 09:42:53 AM,1727,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,36479.44412275623,1737.1163867979155,863.5,1173.0901499884824,1693.0,34.0,34.0,34.0,0.0,34.0,34.0,0,0,0,0,0,0,1,0,0,64,32,1158.0775911986102,579.0387955993051,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-13.227.97.77-52544-443-6,192.168.3.22,52544,13.227.97.77,443,6,24/01/2023 09:42:53 AM,2837,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,22206.55622136059,1057.455058160028,1418.5,1960.8071042302963,2805.0,32.0,32.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,1,0,0,64,32,704.9700387733521,352.4850193866761,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
142.251.128.3-192.168.3.22-443-48506-6,192.168.3.22,48506,142.251.128.3,443,6,24/01/2023 09:42:53 AM,2965,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,21247.892074198986,1011.804384485666,1482.5,2056.9736264716666,2937.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,0,1,0,0,64,32,674.5362563237774,337.2681281618887,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
