Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-200.147.253.13-47738-443-6,200.147.253.13,443,192.168.3.22,47738,6,24/01/2023 09:42:29 AM,504244,105,65,185106.0,5600.0,5600.0,1013.0,1762.9142857142851,779.7978425686525,5600.0,0.0,86.15384615384616,694.5945136995674,378201.82292699564,337.13836951951833,2983.69230769231,9167.419704999822,43648.0,7.0,503993.0,4846.086538461539,11327.478068846807,43648.0,49.0,503165.0,7861.953124999999,14129.71561114151,43848.0,29.0,0,0,0,0,3360,2080,208.2325223502907,128.9058471692276,0.0,5600.0,1147.9883040935679,1155.3706458423485,1334881.3292741654,0,0,0,0,1,0,0,0,0.0,1154.7411764705882,1762.9142857142858,86.15384615384616,0,0,0,0,0,0,105,185106,65,5600,-1,1683,105,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-47738-443-6,192.168.3.22,47738,200.147.253.13,443,6,24/01/2023 09:42:30 AM,387,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,80103.35917312662,7751.937984496125,193.5,208.59650045003153,341.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,64,32,5167.958656330749,2583.9793281653747,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,1667,1,0,0,0,0,0,0,0,0,0,No Label
142.251.128.67-192.168.3.22-443-38322-6,192.168.3.22,38322,142.251.128.67,443,6,24/01/2023 09:42:32 AM,206,1,1,24.0,39.0,24.0,24.0,24.0,0.0,39.0,39.0,39.0,0.0,305825.2427184466,9708.73786407767,206.0,0.0,206.0,206.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,4854.368932038835,4854.368932038835,24.0,39.0,34.0,8.660254037844387,75.0,0,0,0,1,1,0,0,0,1.0,51.0,24.0,39.0,0,0,0,0,0,0,1,24,1,39,-1,3923,1,0,0,0,0,0,0,0,0,0,No Label
142.251.128.67-192.168.3.22-443-38322-6,142.251.128.67,443,192.168.3.22,38322,6,24/01/2023 09:42:32 AM,68,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.764705882353,68.0,0.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14705.882352941177,14705.882352941177,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,269,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-216.239.32.116-54705-443-17,192.168.3.22,54705,216.239.32.116,443,17,24/01/2023 09:42:31 AM,449015,17,17,2529.0,6131.0,1246.0,33.0,148.76470588235293,304.8100903455635,1250.0,25.0,360.64705882352933,490.65580364147206,19286.66080197766,75.72130107012015,13606.515151515154,23932.467818479894,97340.0,4.0,414587.0,25911.687499999996,34341.97547165616,97540.0,56.0,449015.0,28063.437500000004,30953.383560808015,97587.0,4.0,0,0,0,0,136,136,37.860650535060074,37.860650535060074,25.0,1250.0,283.1428571428572,443.32779950633153,196539.53781512607,0,0,0,0,0,0,0,0,1.0,291.47058823529414,148.76470588235293,360.6470588235294,0,0,0,0,0,0,17,2529,17,6131,-1,-1,17,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-31.13.85.51-59566-443-6,31.13.85.51,443,192.168.3.22,59566,6,24/01/2023 09:42:31 AM,1514624,5,7,331.0,1048.0,259.0,0.0,66.2,112.1971479138396,793.0,0.0,149.7142857142857,286.9266539760724,910.4569847037945,7.922758387560213,137693.09090909094,230274.6441271616,790274.0,16.0,1341721.0,335430.25,352046.12811048405,835842.0,10022.0,1514624.0,252437.33333333334,321314.19975448743,877056.0,37.0,0,1,0,0,160,224,3.301149328150089,4.621609059410124,0.0,793.0,167.07692307692307,287.09535626642173,82423.74358974361,0,0,0,1,1,0,0,0,1.0,181.0,66.2,149.71428571428572,0,0,0,0,0,0,5,331,7,1048,-1,5880,2,0,0,0,0,0,0,0,0,0,No Label
192.168.3.1-192.168.3.22-53-36814-17,192.168.3.22,36814,192.168.3.1,53,17,24/01/2023 09:42:31 AM,2958,0,2,0.0,86.0,0,0,0,0,51.0,35.0,43.0,11.313708498984761,29073.6984448952,676.1325219743069,2958.0,0.0,2958.0,2958.0,0,0,0,0,0,2958.0,2958.0,0.0,2958.0,2958.0,0,0,0,0,0,16,0.0,676.1325219743069,35.0,51.0,40.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,60.5,0.0,43.0,0,0,0,0,0,0,0,0,2,86,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.250.218.238-192.168.3.22-443-41003-17,192.168.3.22,41003,142.250.218.238,443,17,24/01/2023 09:42:31 AM,166241,7,11,552.0,6780.0,252.0,33.0,78.85714285714286,79.18212881584786,1250.0,25.0,616.3636363636364,557.9012946260785,44104.64325888319,108.27653827876397,9778.882352941175,19963.307422250804,69662.0,2.0,166079.0,27679.833333333336,43358.379528836944,96338.0,133.0,141553.0,14155.300000000001,24799.088988867672,69957.0,2.0,0,0,0,0,56,88,42.10754266396376,66.1689956148002,25.0,1250.0,451.6842105263158,530.1351036011249,281043.22807017545,0,0,0,0,0,0,0,0,1.0,476.77777777777777,78.85714285714286,616.3636363636364,0,0,0,0,0,0,7,552,11,6780,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
142.250.219.234-192.168.3.22-443-60782-17,192.168.3.22,60782,142.250.219.234,443,17,24/01/2023 09:42:32 AM,70463,0,2,0.0,58.0,0,0,0,0,33.0,25.0,29.0,5.656854249492381,823.127031207868,28.383690731305794,70463.0,0.0,70463.0,70463.0,0,0,0,0,0,70463.0,70463.0,0.0,70463.0,70463.0,0,0,0,0,0,16,0.0,28.383690731305794,25.0,33.0,30.333333333333332,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,0.0,45.5,0.0,29.0,0,0,0,0,0,0,0,0,2,58,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-52.85.213.48-38674-443-6,192.168.3.22,38674,52.85.213.48,443,6,24/01/2023 09:42:33 AM,46078,1,3,0.0,78.0,0.0,0.0,0.0,0.0,39.0,0.0,26.0,22.516660498395403,1692.7818047658318,86.80932332132471,15359.333333333332,26564.174602899548,46033.0,21.0,0,0,0,0,0,46057.0,23028.5,32533.275895611863,46033.0,24.0,0,1,0,0,32,96,21.702330830331178,65.10699249099353,0.0,39.0,23.4,21.361179742701477,456.29999999999995,0,0,0,1,1,0,0,0,3.0,29.25,0.0,26.0,0,0,0,0,0,0,1,0,3,78,-1,137,0,0,0,0,0,0,0,0,0,0,No Label
