Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-31.13.85.51-59566-443-6,31.13.85.51,443,192.168.3.22,59566,6,24/01/2023 09:41:54 AM,1132887,1,3,0.0,778.0,0.0,0.0,0.0,0.0,679.0,0.0,259.3333333333333,366.79740093590266,686.7410430166468,3.530802277720549,377629.0,615144.0413033357,1087454.0,55.0,0,0,0,0,0,1087509.0,543754.5,768907.2067554706,1087454.0,55.0,0,1,0,0,32,96,0.8827005694301373,2.648101708290412,0.0,679.0,291.4,356.1296112372573,126828.3,0,0,0,1,1,0,0,0,3.0,364.25,0.0,259.3333333333333,0,0,0,0,0,0,1,0,3,778,-1,5880,0,0,0,0,0,0,0,0,0,0,No Label
142.250.219.234-192.168.3.22-443-39604-17,192.168.3.22,39604,142.250.219.234,443,17,24/01/2023 09:41:57 AM,318890,8,11,827.0,5260.0,502.0,33.0,103.37499999999999,162.38308981277225,1250.0,25.0,478.1818181818182,542.1689438139773,19088.086801091285,59.581673931449714,17716.111111111113,33770.67586442221,131387.0,5.0,307126.0,43875.142857142855,50617.11018495811,131836.0,84.0,318890.0,31889.0,43189.91359616785,131432.0,5.0,0,0,0,0,64,88,25.08702060271567,34.494653328734046,25.0,1250.0,366.84999999999997,491.8118248401837,241878.87105263153,0,0,0,0,0,0,0,0,1.0,386.1578947368421,103.375,478.1818181818182,0,0,0,0,0,0,8,827,11,5260,-1,-1,8,0,0,0,0,0,0,0,0,0,No Label
142.251.128.46-192.168.3.22-443-47728-17,192.168.3.22,47728,142.251.128.46,443,17,24/01/2023 09:41:54 AM,1324515,8,12,1209.0,989.0,558.0,33.0,151.125,217.2933747593003,275.0,26.0,82.41666666666669,89.2488434692913,1659.475355129991,15.099866743675985,69711.3157894737,226245.39294095218,1000249.0,72.0,1264347.0,180621.00000000003,383682.6503748465,1049674.0,7197.0,1324515.0,120410.45454545456,292808.68395570636,1000249.0,197.0,0,0,0,0,64,96,6.039946697470394,9.059920046205592,26.0,558.0,106.23809523809524,149.40311401102213,22321.290476190476,0,0,0,0,0,0,0,0,1.0,111.55,151.125,82.41666666666667,0,0,0,0,0,0,8,1209,12,989,-1,-1,8,0,0,0,0,0,0,0,0,0,No Label
172.217.173.110-192.168.3.22-443-52895-17,192.168.3.22,52895,172.217.173.110,443,17,24/01/2023 09:41:54 AM,162436,4,6,308.0,2244.0,203.0,34.0,77.0,84.01190391843289,1243.0,25.0,374.0,496.0145159166211,15710.803023960207,61.56270777413874,18048.444444444445,20675.143899808238,46443.0,97.0,120725.0,40241.666666666664,23552.765407343006,57730.0,13460.0,162436.0,32487.2,24628.4720537024,56846.0,1333.0,0,0,0,0,32,48,24.625083109655495,36.937624664483245,25.0,1243.0,345.0,484.7754119177251,235007.2,0,0,0,0,0,0,0,0,1.0,379.5,77.0,374.0,0,0,0,0,0,0,4,308,6,2244,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
142.250.219.234-192.168.3.22-443-60782-17,142.250.219.234,443,192.168.3.22,60782,17,24/01/2023 09:41:57 AM,684554,6,7,362.0,836.0,117.0,25.0,60.333333333333336,39.848044703180435,552.0,33.0,119.42857142857142,193.2751554501657,1750.0445545566895,18.990466785673593,57046.16666666668,99190.19603756057,294879.0,137.0,684417.0,136883.4,154026.32468120506,339621.0,9353.0,637564.0,106260.66666666667,126769.60667552246,294879.0,320.0,0,0,0,0,48,56,8.764830824157043,10.22563596151655,25.0,552.0,93.92857142857143,136.9803266535377,18763.609890109892,0,0,0,0,0,0,0,0,1.0,101.15384615384616,60.333333333333336,119.42857142857143,0,0,0,0,0,0,6,362,7,836,-1,-1,6,0,0,0,0,0,0,0,0,0,No Label
172.217.28.3-192.168.3.22-443-34459-17,192.168.3.22,34459,172.217.28.3,443,17,24/01/2023 09:41:57 AM,208882,5,5,170.0,971.0,36.0,33.0,34.0,1.4142135623730958,831.0,25.0,194.2,356.3498281183814,5462.414185999751,47.87391924627301,23209.11111111111,29472.524791933098,89038.0,22.0,120141.0,30035.25,42034.76411555083,89278.0,22.0,208882.0,52220.5,48697.13627788257,119785.0,3596.0,0,0,0,0,40,40,23.936959623136506,23.936959623136506,25.0,831.0,179.27272727272725,322.3867524911937,103933.21818181819,0,0,0,0,0,0,0,0,1.0,197.2,34.0,194.2,0,0,0,0,0,0,5,170,5,971,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
