Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-200.147.253.13-44270-443-6,192.168.3.22,44270,200.147.253.13,443,6,24/01/2023 09:43:11 AM,323941,15,18,1132.0,43318.0,517.0,0.0,75.46666666666665,176.64689017790212,5600.0,0.0,2406.5555555555557,2009.7789817677854,137216.34495170417,101.87040232634956,10123.156249999996,20792.136295941116,68121.0,1.0,276067.0,19719.07142857143,26457.60456470309,68327.0,23.0,323941.0,19055.352941176472,26890.915610437052,68232.0,18.0,0,0,0,0,480,592,46.30472833015889,55.56567399619067,0.0,5600.0,1307.3529411764705,1869.4045216584739,3494673.265597148,0,1,0,0,0,0,0,0,1.0,1346.969696969697,75.46666666666667,2406.5555555555557,0,0,0,0,0,0,15,1132,18,43318,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44270-443-6,192.168.3.22,44270,200.147.253.13,443,6,24/01/2023 09:43:11 AM,432,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,71759.25925925926,6944.444444444444,216.0,239.00209204105306,385.0,47.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,0,0,0,0,0,64,32,4629.62962962963,2314.814814814815,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,620,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44286-443-6,192.168.3.22,44286,200.147.253.13,443,6,24/01/2023 09:43:11 AM,771078,89,110,1088.0,215476.0,517.0,0.0,12.224719101123593,72.91725584663956,7000.0,0.0,1958.8727272727278,1260.539109285533,280858.7458078171,258.0802460970226,3894.3333333333303,11466.388950469622,56957.0,1.0,726329.0,8253.73863636363,16927.195377400738,88273.0,25.0,771078.0,7074.11009174312,15732.95087890819,63167.0,8.0,0,0,0,0,2848,3536,115.42282363133171,142.65742246569087,0.0,7000.0,1082.8199999999988,1347.3740205884867,1815416.7513567836,0,1,0,0,0,0,0,0,1.0,1088.2613065326634,12.224719101123595,1958.8727272727272,0,0,0,0,0,0,89,1088,110,215476,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44286-443-6,192.168.3.22,44286,200.147.253.13,443,6,24/01/2023 09:43:12 AM,244,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,127049.18032786886,12295.081967213115,122.0,127.27922061357856,212.0,32.0,32.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,0,0,0,64,32,8196.72131147541,4098.360655737705,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,1784,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44298-443-6,192.168.3.22,44298,200.147.253.13,443,6,24/01/2023 09:43:12 AM,781268,82,101,1088.0,208332.0,517.0,0.0,13.268292682926825,75.91044899211758,8400.0,0.0,2062.693069306932,1360.731573401413,268051.42409518885,234.23460323474148,4292.681318681319,12425.535269219208,54938.0,6.0,734674.0,9070.049382716044,18251.774767061175,88282.0,41.0,781268.0,7812.680000000005,17181.389827415478,68850.0,18.0,0,0,0,0,2624,3248,104.95758177731585,129.27702145742563,0.0,8400.0,1138.1521739130437,1435.3335434971705,2060182.381088144,0,1,0,0,0,0,0,0,1.0,1144.3715846994535,13.268292682926829,2062.6930693069307,0,0,0,0,0,0,82,1088,101,208332,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44298-443-6,192.168.3.22,44298,200.147.253.13,443,6,24/01/2023 09:43:13 AM,193,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,160621.7616580311,15544.041450777202,96.5,106.77312395916867,172.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,64,32,10362.694300518135,5181.347150259067,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,1768,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-31.13.85.51-59566-443-6,31.13.85.51,443,192.168.3.22,59566,6,24/01/2023 09:43:14 AM,1087417,11,13,537.0,1097.0,98.0,0.0,48.81818181818182,47.16527998818237,375.0,0.0,84.38461538461539,120.08575995341722,1502.643420141491,22.070649989838305,47279.000000000015,137539.6431625178,652645.0,14.0,1024138.0,102413.79999999999,218381.72742435307,704227.0,179.0,1087417.0,90618.08333333333,189037.20029303434,652645.0,29.0,0,1,0,0,352,416,10.115714578675888,11.954935411162415,0.0,375.0,80.36,110.5402943123758,12219.156666666662,0,0,0,1,1,0,0,0,1.0,83.70833333333333,48.81818181818182,84.38461538461539,0,0,0,0,0,0,11,537,13,1097,-1,5880,6,0,0,0,0,0,0,0,0,0,No Label
142.251.128.46-192.168.3.22-443-47728-17,192.168.3.22,47728,142.251.128.46,443,17,24/01/2023 09:43:12 AM,1151396,4,6,669.0,280.0,565.0,33.0,167.25,265.17714205162304,104.0,26.0,46.666666666666664,30.826395615878717,824.2168637028442,8.685109206563162,127932.88888888889,305575.18997721514,941113.0,91.0,116111.0,38703.666666666664,22037.674204265146,59982.0,15978.0,1151396.0,230279.2,422957.78418856417,985697.0,318.0,0,0,0,0,32,48,3.474043682625265,5.211065523937898,26.0,565.0,89.27272727272727,159.4014372012316,25408.818181818184,0,0,0,0,0,0,0,0,1.0,98.2,167.25,46.666666666666664,0,0,0,0,0,0,4,669,6,280,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44270-443-6,200.147.253.13,443,192.168.3.22,44270,6,24/01/2023 09:43:11 AM,800,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,800.0,0.0,800.0,800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.1-192.168.3.22-53-47758-17,192.168.3.22,47758,192.168.3.1,53,17,24/01/2023 09:43:15 AM,5845,0,2,0.0,121.0,0,0,0,0,87.0,34.0,60.5,37.476659402887016,20701.454234388366,342.1727972626176,5845.0,0.0,5845.0,5845.0,0,0,0,0,0,5845.0,5845.0,0.0,5845.0,5845.0,0,0,0,0,0,16,0.0,342.1727972626176,34.0,87.0,51.66666666666667,30.599564267050166,936.3333333333334,0,0,0,0,0,0,0,0,0.0,77.5,0.0,60.5,0,0,0,0,0,0,0,0,2,121,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
